State,state_code,deaths,Pop,Age_grp,Year_grp,age,year,cohort,censor
Iowa,19,30,953405,35-39,2002-2006,37,2004,1967,0
Kansas,20,84,896515,35-39,2002-2006,37,2004,1967,0
Kentucky,21,190,1480573,35-39,2002-2006,37,2004,1967,0
Louisiana,22,80,1522806,35-39,2002-2006,37,2004,1967,0
Maine,23,78,466683,35-39,2002-2006,37,2004,1967,0
Maryland,24,423,2145464,35-39,2002-2006,37,2004,1967,0
Massachusetts,25,411,2452026,35-39,2002-2006,37,2004,1967,0
Michigan,26,245,3556377,35-39,2002-2006,37,2004,1967,0
Minnesota,27,93,1827883,35-39,2002-2006,37,2004,1967,0
Mississippi,28,29,959944,35-39,2002-2006,37,2004,1967,0
Missouri,29,196,1955001,35-39,2002-2006,37,2004,1967,0
Montana,30,25,280954,35-39,2002-2006,37,2004,1967,0
Nebraska,31,19,569088,35-39,2002-2006,37,2004,1967,0
Nevada,32,188,892139,35-39,2002-2006,37,2004,1967,0
New Hampshire,33,72,491584,35-39,2002-2006,37,2004,1967,0
New Jersey,34,344,3357904,35-39,2002-2006,37,2004,1967,0
New Mexico,35,144,619377,35-39,2002-2006,37,2004,1967,0
New York,36,471,7193466,35-39,2002-2006,37,2004,1967,0
North Carolina,37,398,3189485,35-39,2002-2006,37,2004,1967,0
North Dakota,38,10,193660,35-39,2002-2006,37,2004,1967,-1
Ohio,39,323,3966084,35-39,2002-2006,37,2004,1967,0
Oklahoma,40,165,1139343,35-39,2002-2006,37,2004,1967,0
Oregon,41,165,1217699,35-39,2002-2006,37,2004,1967,0
Pennsylvania,42,302,4289602,35-39,2002-2006,37,2004,1967,0
Rhode Island,44,75,390273,35-39,2002-2006,37,2004,1967,0
South Carolina,45,85,1478203,35-39,2002-2006,37,2004,1967,0
South Dakota,46,12,239553,35-39,2002-2006,37,2004,1967,0
Tennessee,47,260,2127117,35-39,2002-2006,37,2004,1967,0
Texas,48,526,8153158,35-39,2002-2006,37,2004,1967,0
Utah,49,184,738064,35-39,2002-2006,37,2004,1967,0
Vermont,50,24,214731,35-39,2002-2006,37,2004,1967,0
Virginia,51,300,2845756,35-39,2002-2006,37,2004,1967,0
Washington,53,336,2260474,35-39,2002-2006,37,2004,1967,0
West Virginia,54,127,594864,35-39,2002-2006,37,2004,1967,0
Wisconsin,55,157,1947682,35-39,2002-2006,37,2004,1967,0
Wyoming,56,10,155776,35-39,2002-2006,37,2004,1967,0
Alabama,1,71,1703809,40-44,2002-2006,42,2004,1962,0
Alaska,2,10,274719,40-44,2002-2006,42,2004,1962,0
Arizona,4,305,2040109,40-44,2002-2006,42,2004,1962,0
Arkansas,5,113,1002366,40-44,2002-2006,42,2004,1962,0
California,6,1235,13809395,40-44,2002-2006,42,2004,1962,0
Colorado,8,215,1853935,40-44,2002-2006,42,2004,1962,0
Connecticut,9,195,1468555,40-44,2002-2006,42,2004,1962,0
Delaware,10,33,326301,40-44,2002-2006,42,2004,1962,0
District of Columbia,11,39,202902,40-44,2002-2006,42,2004,1962,0
Florida,12,936,6687234,40-44,2002-2006,42,2004,1962,0
Georgia,13,270,3506108,40-44,2002-2006,42,2004,1962,0
Hawaii,15,51,472883,40-44,2002-2006,42,2004,1962,0
Idaho,16,53,496685,40-44,2002-2006,42,2004,1962,0
Illinois,17,574,4867964,40-44,2002-2006,42,2004,1962,0
Indiana,18,125,2389484,40-44,2002-2006,42,2004,1962,0
Iowa,19,60,1098967,40-44,2002-2006,42,2004,1962,0
Kansas,20,102,1028556,40-44,2002-2006,42,2004,1962,0
Kentucky,21,204,1601084,40-44,2002-2006,42,2004,1962,0
Louisiana,22,128,1684266,40-44,2002-2006,42,2004,1962,0
Maine,23,73,540592,40-44,2002-2006,42,2004,1962,0
Maryland,24,556,2330131,40-44,2002-2006,42,2004,1962,0
Massachusetts,25,520,2620889,40-44,2002-2006,42,2004,1962,0
Michigan,26,338,3904475,40-44,2002-2006,42,2004,1962,0
Minnesota,27,120,2069688,40-44,2002-2006,42,2004,1962,0
Mississippi,28,38,1054218,40-44,2002-2006,42,2004,1962,0
Missouri,29,258,2223069,40-44,2002-2006,42,2004,1962,0
Montana,30,38,350851,40-44,2002-2006,42,2004,1962,0
Nebraska,31,25,650035,40-44,2002-2006,42,2004,1962,0
Nevada,32,273,904943,40-44,2002-2006,42,2004,1962,0
New Hampshire,33,92,568721,40-44,2002-2006,42,2004,1962,0
New Jersey,34,385,3615899,40-44,2002-2006,42,2004,1962,0
New Mexico,35,221,708076,40-44,2002-2006,42,2004,1962,0
New York,36,595,7573493,40-44,2002-2006,42,2004,1962,0
North Carolina,37,470,3327878,40-44,2002-2006,42,2004,1962,0
North Dakota,38,10,234158,40-44,2002-2006,42,2004,1962,-1
Ohio,39,445,4410547,40-44,2002-2006,42,2004,1962,0
Oklahoma,40,284,1297663,40-44,2002-2006,42,2004,1962,0
Oregon,41,255,1314452,40-44,2002-2006,42,2004,1962,0
Pennsylvania,42,401,4820499,40-44,2002-2006,42,2004,1962,0
Rhode Island,44,108,425148,40-44,2002-2006,42,2004,1962,0
South Carolina,45,132,1590674,40-44,2002-2006,42,2004,1962,0
South Dakota,46,17,285036,40-44,2002-2006,42,2004,1962,0
Tennessee,47,305,2276587,40-44,2002-2006,42,2004,1962,0
Texas,48,779,8544320,40-44,2002-2006,42,2004,1962,0
Utah,49,206,756374,40-44,2002-2006,42,2004,1962,0
Vermont,50,46,253401,40-44,2002-2006,42,2004,1962,0
Virginia,51,359,3044488,40-44,2002-2006,42,2004,1962,0
Washington,53,502,2443627,40-44,2002-2006,42,2004,1962,0
West Virginia,54,199,663174,40-44,2002-2006,42,2004,1962,0
Wisconsin,55,229,2205965,40-44,2002-2006,42,2004,1962,0
Wyoming,56,13,190164,40-44,2002-2006,42,2004,1962,0
Alabama,1,71,1701996,45-49,2002-2006,47,2004,1957,0
Alaska,2,21,286605,45-49,2002-2006,47,2004,1957,0
